"sample_pdf","site","latitude","longitude","date","sample_card","specie","sepal_lenght_cm","sepal_width_cm","petal_lenght_cm","petal_width_cm"
"A1","site_1","48.935966","-64.840984","01-12-1929","A18","Iris setosa",5.1,3.5,1.4,0.3
"A5","site_1","48.935966","-64.840984","02-12-1929","A30","Iris setosa",4.7,3.2,1.6,0.2
"A9","site_1","48.935966","-64.840984","02-12-1929","A47","Iris setosa",4.5,2.3,1.3,0.3
"A37","site_1","48.935966","-64.840984","02-12-1929","A28","Iris setosa",5.2,3.5,1.5,0.2
"A59","site_1","48.935966","-64.840984","02-12-1929","A75","Iris setosa",6.4,2.9,4.3,1.3
"A82","site_2","48.540.502","-64.766512","02-12-1929","A95","Iris setosa",5.6,2.7,4.2,1.3
"A88","site_3","48.329.837","-65.512333","02-12-1929","A64","Iris setosa",6.1,2.9,4.7,1.4
"A102","site_1","48.935966","-64.840984","02-12-1929","A105","Iris setosa",6.5,3,5.8,2.2
"A105","site_1","48.935966","-64.840984","02-12-1929","A114","Iris setosa",5.7,2.5,5,2
"A109","site_1","48.935966","-64.840984","02-12-1929","A126","Iris setosa",7.2,3.2,6,1.8
"A113","site_1","48.935966","-64.840984","02-12-1929","A138","Iris setosa",6.4,3.1,5.5,1.8
"A114","site_1","48.935966","-64.840984","02-12-1929","A141","Iris setosa",6.7,3.1,5.6,2.4
"A117","site_1","48.935966","-64.840984","02-12-1929","A150","Iris setosa",5.9,3,5.1,1.8
"A118","site_2","48.540.502","-64.766512","02-12-1929","A101","Iris setosa",6.3,3.3,6,2.5
"A133","site_2","48.540.502","-64.766512","02-12-1929","A146","Iris setosa",6.7,3,5.2,2.3
"A24","site_2","48.540502","-64.766512","13/02/1930","A38","Iris setosa",4.9,3.6,1.4,0.1
"A148","site_3","48.329837","-65.512333","01/12/1929","A142","Iris virginica",6.9,3.1,5.1,2.3
"A70","site_2","48.540502","-64.766512","13/02/1930","A59","Iris versicolor",6.6,2.9,4.6,1.3
"A16","site_1","48.935966","-64.840984","01/12/1929","A15","Iris setosa",5.8,4,1.2,0.2
"A67","site_1","48.935966","-64.840984","01/12/1929","A99","Iris versicolor",5.1,2.5,3,1.1
"A144","site_3","48.329837","-65.512333","01/12/1929","A130","Iris virginica",7.2,3,5.8,1.6
"A92","site_3","48.329837","-65.512333","01/12/1929","A76","Iris versicolor",6.6,3,4.4,1.4
"A108","site_1","48.935966","-64.840984","01/12/1929","A123","Iris virginica",7.7,2.8,6.7,2
"A112","site_1","48.935966","-64.840984","01/12/1929","A135","Iris virginica",6.1,2.6,5.6,1.4
"A81","site_2","48.540502","-64.766512","13/02/1930","A92","Iris versicolor",6.1,3,4.6,1.4
"A51","site_1","48.935966","-64.840984","01/12/1929","A51","Iris versicolor",7,3.2,4.7,1.4
"A75","site_2","48.540502","-64.766512","13/02/1930","A74","Iris versicolor",6.1,2.8,4.7,1.2
"A32","site_2","48.540502","-64.766512","13/02/1930","A11","Iris setosa",5.4,3.7,1.5,0.2
"A34","site_3","48.329837","-65.512333","01/12/1929","A19","Iris setosa",5.7,3.8,1.7,0.3
"A52","site_1","48.935966","-64.840984","01/12/1929","A54","Iris versicolor",5.5,2.3,4,1.3
"A2","site_1","48.935966","-64.840984","01-12-1929","A21","Iris setosa",5.4,3.4,1.7,0.2
"A6","site_1","48.935966","-64.840984","01-12-1929","A33","Iris setosa",5.2,4.1,1.5,0.1
"A8","site_1","48.935966","-64.840984","01-12-1929","A39","Iris setosa",4.4,3,1.3,0.2
"A19","site_2","48.540502","-64.766512","13-02-1930","A23","Iris setosa",4.6,3.6,1,0.2
"A28","site_2","48.540502","-64.766512","13-02-1930","A50","Iris setosa",5,3.3,1.4,0.2
"A30","site_2","48.540502","-64.766512","13-02-1930","A5","Iris setosa",5,3.6,1.4,0.2
"A35","site_3","48.329837","-65.512333","01-12-1929","A22","Iris setosa",5.1,3.7,1.5,0.4
"A43","site_3","48.329837","-65.512333","01-12-1929","A46","Iris setosa",4.8,3,1.4,0.3
"A74","site_2","48.540502","-64.766512","13-02-1930","A71","Iris versicolor",5.9,3.2,4.8,1.8
"A94","site_3","48.329837","-65.512333","01-12-1929","A82","Iris versicolor",5.5,2.4,3.7,1
"A99","site_3","48.329837","-65.512333","01-12-1929","A97","Iris versicolor",5.7,2.9,4.2,1.3
"A119","site_2","48.540502","-64.766512","13-02-1930","A104","Iris virginica",6.3,2.9,5.6,1.8
"A125","site_2","48.540502","-64.766512","13-02-1930","A122","Iris virginica",5.6,2.8,4.9,2
"A126","site_2","48.540502","-64.766512","13-02-1930","A125","Iris virginica",6.7,3.3,5.7,2.1
"A138","site_3","48.329837","-65.512333","01-12-1929","A112","Iris virginica",6.4,2.7,5.3,1.9
"A16","site_1","48.935966","-64.840984","1-12-1929","A15","Iris setosa",5.8,4,1.2,0.2
"A2","site_1","48.935966","-64.840984","1-12-1929","A21","Iris setosa",5.4,3.4,1.7,0.2
"A41","site_3","48.329837","-65.512333","1-12-1929","A40","Iris setosa",5.1,3.4,1.5,0.2
"A44","site_3","48.329837","-65.512333","1-12-1929","A49","Iris setosa",5.3,3.7,1.5,0.2
"A69","site_2","48.540502","-64.766512","13-2-1930","A56","Iris versicolor",5.7,2.8,4.5,1.3
"A86","site_3","48.329837","-65.512333","1-12-1929","A58","Iris versicolor",4.9,2.4,3.3,1
"A71","site_2","48.540502","-64.766512","13-2-1930","A62","Iris versicolor",5.9,3,4.2,1.5
"A64","site_1","48.935966","-64.840984","1-12-1929","A90","Iris versicolor",5.5,2.5,4,1.3
"A118","site_2","48.540502","-64.766512","13-2-1930","A101","Iris virginica",6.3,3.3,6,2.5
"A120","site_2","48.540502","-64.766512","13-2-1930","A107","Iris virginica",4.9,2.5,4.5,1.7
"A139","site_3","48.329837","-65.512333","1-12-1929","A115","Iris virginica",5.8,2.8,5.1,2.4
"A123","site_2","48.540502","-64.766512","13-2-1930","A116","Iris virginica",6.4,3.2,5.3,2.3
"A141","site_3","48.329837","-65.512333","1-12-1929","A121","Iris virginica",6.9,3.2,5.7,2.3
"A143","site_3","48.329837","-65.512333","1-12-1929","A127","Iris virginica",6.2,2.8,4.8,1.8
"A131","site_2","48.540502","-64.766512","13-2-1930","A140","Iris virginica",6.9,3.1,5.4,2.1
"A12","site_1","48.935.966","-64.840.984","01-12-1929","A3","Iris setosa",4.7,3.2,1.3,0.2
"A46","site_3","48.329.837","-65.512.333","01-12-1929","A4","Iris setosa",4.6,3.1,1.5,0.2
"A47","site_3","48.329.837","-65.512.333","01-12-1929","A7","Iris setosa",4.6,3.4,1.4,0.3
"A36","site_3","48.329.837","-65.512.333","01-12-1929","A25","Iris setosa",4.8,3.4,1.9,0.2
"A4","site_1","48.935.966","-64.840.984","01-12-1929","A27","Iris setosa",5,3.4,1.6,0.4
"A72","site_2","48.540.502","-64.766.512","13-02-1930","A65","Iris versicolor",5.6,2.9,3.6,1.3
"A58","site_1","48.935.966","-64.840.984","01-12-1929","A72","Iris versicolor",6.1,2.8,4,1.3
"A76","site_2","48.540.502","-64.766.512","13-02-1930","A77","Iris versicolor",6.8,2.8,4.8,1.4
"A60","site_1","48.935.966","-64.840.984","01-12-1929","A78","Iris versicolor",6.7,3,5,1.7
"A95","site_3","48.329.837","-65.512.333","01-12-1929","A85","Iris setosa",5.4,3,4.5,1.5
"A119","site_2","48.540.502","-64.766.512","13-02-1930","A104","Iris virginica",6.3,2.9,5.6,1.8
"A136","site_3","48.329.837","-65.512.333","01-12-1929","A106","Iris virginica",7.6,3,6.6,2.1
"A104","site_1","48.935.966","-64.840.984","01-12-1929","A111","Iris virginica",6.5,3.2,5.1,2
"A112","site_1","48.935.966","-64.840.984","01-12-1929","A135","Iris virginica",6.1,2.6,5.6,1.4
"A147","site_3","48.329.837","-65.512.333","01-12-1929","A139","Iris virginica",6,3,4.8,1.8
"A17","site_1","48.935966","-64.840984","01-12-1929","A150","Iris virginica",5.9,3,5.1,1.8
"A130","site_2","48.540502","-64.766512","13-02-1930","A137","Iris virginica",6.3,3.4,5.6,2.4
"A61","site_1","48.935966","-64.840984","01-12-1929","A81","Iris versicolor",5.5,2.4,3.8,1.1
"A38","site_3","48.329837","-65.512333","01-12-1929","A31","Iris setosa",4.8,3.1,1.6,0.2
"A129","site_2","48.540502","-64.766512","13-02-1930","A134","Iris virginica",6.3,2.8,5.1,1.5
"A122","site_2","48.540502","-64.766512","13-02-1930","A113","Iris virginica",6.8,3,5.5,2.1
"A41","site_3","48.329837","-65.512333","01-12-1929","A40","Iris setosa",5.1,3.4,1.5,0.2
"A66","site_1","48.935966","-64.840984","1929_12-01","A96","Iris versicolor",5.7,3,4.2,1.2
"A84","site_3","48.329837","-65.512333","01-12-1929","A52","Iris versicolor",6.4,3.2,4.5,1.5
"A137","site_3","48.329837","-65.512333","01-12-1929","A109","Iris virginica",6.7,2.5,5.8,1.8
"A95","site_3","48.329837","-65.512333","01-12-1929","A85","Iris versicolor",5.4,3,4.5,1.5
"A146","site_3","48.329837","-65.512333","01-12-1929","A136","Iris virginica",7.7,3,6.1,2.3
"A79","site_2","48.540502","-64.766512","13-02-1930","A86","Iris versicolor",6,3.4,4.5,1.6
"A80","site_2","48.540502","-64.766512","13-02-1930","A89","Iris versicolor",5.6,3,4.1,1.3
"A53","site_1","48.935966","-64.840984","01-12-1929","A57","Iris versicolor",6.3,3.3,4.7,1.6
"A143","site_3","48.329837","-65.512333","1-12-1929","A127","Iris virginica",6.2,2.8,4.8,1.8
"A44","site_3","48.329837","-65.512333","1-12-1929","A49","Iris setosa",5.3,3.7,1.5,0.2
"A100","site_3","48.329837","-65.512333","1-12-1929","A100","Iris versicolor",5.7,2.8,4.1,1.3
"A12","site_1","48.935966","-64.840984","1-12-1929","A3","Iris setosa",4.7,3.2,1.3,0.2
"A131","site_2","48.540502","-64.766512","13-2-1930","A140","Iris virginica",6.9,3.1,5.4,2.1
"A145","site_3","48.329837","-65.512333","1-12-1929","A133","Iris virginica",6.4,2.8,5.6,2.2
"A132","site_2","48.540502","-64.766512","13-2-1930","A143","Iris virginica",5.8,2.7,5.1,1.9
"A47","site_3","48.329837","-65.512333","1-12-1929","A7","Iris setosa",4.6,3.4,1.4,0.3
"A150","site_3","48.329837","-65.512333","1-12-1929","A148","Iris virginica",6.5,3,5.2,2
"A98","site_3","48.329837","-65.512333","1-12-1929","A94","Iris versicolor",5,2.3,3.3,1
"A87","site_3","48.329837","-65.512333","1-12-1929","A61","Iris versicolor",5,2,3.5,1
"A14","site_1","48.935966","-64.840984","1-12-1929","A9","Iris setosa",4.4,2.9,1.4,0.2
"A63","site_1","48.935966","-64.840984","1-12-1929","A87","Iris versicolor",6.7,3.1,4.7,1.5
"A141","site_3","48.329837","-65.512333","1-12-1929","A121","Iris virginica",6.9,3.2,5.7,2.3
"A57","site_1","48.935966","-64.840984","1-12-1929","A69","Iris versicolor",6.2,2.2,4.5,1.5
